task,model,selection_case,seed,seed_slot,error_key,selected_error,summary_best_point,line_label,run_path,epoch,metric_value
task31,graphconv,case118,44,2,PBL Mean,2.3903526754940256,24,task31|graphconv|case118|seed=44|bp=24|err=2.390353,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=44_case=case118_layers=15_lr=1e-4_163_260212_231000,14,2.4592575073242187
task31,graphconv,case118,44,2,PBL Mean,2.3903526754940256,24,task31|graphconv|case118|seed=44|bp=24|err=2.390353,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=44_case=case118_layers=15_lr=1e-4_163_260212_231000,19,2.446499698302325
task31,graphconv,case118,44,2,PBL Mean,2.3903526754940256,24,task31|graphconv|case118|seed=44|bp=24|err=2.390353,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=44_case=case118_layers=15_lr=1e-4_163_260212_231000,24,2.3903526754940256
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,4,0.3385517362286063
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,9,0.3132978632169611
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,14,0.3077970599426943
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,19,0.27755428464973675
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,24,0.28081611289697533
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,29,0.30045024822739996
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,34,0.28473565999199363
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,39,0.26932324223658616
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,44,0.2634433677967857
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,49,0.26207814917844885
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,54,0.25950367433183336
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,59,0.2714254109298482
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,64,0.2502675175666809
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,69,0.23430776596069336
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,74,0.2527220250929103
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,79,0.26881790459156035
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120,84,0.2542669753817951
