task,model,selection_case,seed,seed_slot,error_key,selected_error,summary_best_point_raw,summary_best_point,curve_n_points,curve_first_epoch,curve_first_value,curve_mid_epoch,curve_mid_value,curve_last_epoch,curve_last_value,curve_best_epoch,curve_best_value,global_error_rank,line_label,run_path
task34,graphconv,case57_118_500,42,0,PBL Mean,7.181124097314374,29,29,6,4,10.144815905340787,19,8.11588222199473,29,7.181124097314374,29,7.181124097314374,47,task34|graphconv|case57_118_500|seed=42|bp=29|err=7.181124,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case57_118_500/seed=42_case=case57_118_500_layers=15_lr=5e-3_45_260212_234832
task34,graphconv,case57_118_500,43,1,PBL Mean,7.67254624284547,39,39,12,4,6.821325811846503,34,8.516711512516284,59,8.481937126866702,4,6.821325811846503,49,task34|graphconv|case57_118_500|seed=43|bp=39|err=7.672546,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case57_118_500/seed=43_case=case57_118_500_layers=15_lr=5e-3_93_260215_042255
task34,graphconv,case57_118_500,44,2,PBL Mean,7.723092220980545,94,94,20,4,9.588423691946884,54,8.638238635556451,99,8.307008451428906,19,7.220712246565983,51,task34|graphconv|case57_118_500|seed=44|bp=94|err=7.723092,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/graphconv/case57_118_500/seed=44_case=case57_118_500_layers=15_lr=1e-4_129_260216_131436
task31,powerflownet,case118,42,0,PBL Mean,0.39208835258203395,59,59,16,4,0.6612532769932467,44,0.4278629439718583,79,0.5843805207925684,74,0.37979419231414796,20,task31|powerflownet|case118|seed=42|bp=59|err=0.392088,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case118/seed=42_case=case118_lr=5e-4_8_260131_075026
task31,powerflownet,case118,43,1,PBL Mean,0.37242959141731263,79,79,20,4,0.6877511199782876,54,0.39458398643661946,99,0.38009384239421173,89,0.3713175247697269,19,task31|powerflownet|case118|seed=43|bp=79|err=0.372430,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case118/seed=43_case=case118_lr=5e-4_28_260201_072615
task31,powerflownet,case118,44,2,PBL Mean,0.3968104127575369,54,54,15,4,0.6924468061503242,39,0.42035944496884065,74,0.3883492501342998,74,0.3883492501342998,21,task31|powerflownet|case118|seed=44|bp=54|err=0.396810,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case118/seed=44_case=case118_lr=5e-4_48_260202_092300
task31,powerflownet,case14,42,0,PBL Mean,0.04764111024491927,89,89,20,4,0.15657666798900155,54,0.05862384399070459,99,0.046513049611273935,99,0.046513049611273935,1,task31|powerflownet|case14|seed=42|bp=89|err=0.047641,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case14/seed=42_case=case14_lr=1e-4_0_260130_195023
task31,powerflownet,case14,43,1,PBL Mean,0.06447945793761926,54,54,15,4,0.14902652037494324,39,0.0687067720819922,74,0.0602942436495248,74,0.0602942436495248,6,task31|powerflownet|case14|seed=43|bp=54|err=0.064479,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case14/seed=43_case=case14_lr=5e-4_25_260201_040527
task31,powerflownet,case14,44,2,PBL Mean,0.05689464943373904,49,49,14,4,0.16480391034308603,39,0.06909332840758212,69,0.05757844285929904,59,0.05322340152719442,5,task31|powerflownet|case14|seed=44|bp=49|err=0.056895,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case14/seed=44_case=case14_lr=1e-4_40_260201_232729
task31,powerflownet,case30,42,0,PBL Mean,0.053302663257893394,69,69,18,4,0.10450063339051079,49,0.06084803969544523,89,0.05094441320089733,89,0.05094441320089733,2,task31|powerflownet|case30|seed=42|bp=69|err=0.053303,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case30/seed=42_case=case30_lr=5e-4_6_260131_051056
task31,powerflownet,case30,43,1,PBL Mean,0.056736220901503286,39,39,12,4,0.1060971555464408,34,0.06171420882729923,59,0.08267232837045894,39,0.056736220901503286,4,task31|powerflownet|case30|seed=43|bp=39|err=0.056736,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case30/seed=43_case=case30_lr=5e-4_26_260201_050905
task31,powerflownet,case30,44,2,PBL Mean,0.05476487940725158,74,74,19,4,0.11114868048359366,49,0.06185881889918271,94,0.051413247383692684,79,0.05037159257951905,3,task31|powerflownet|case30|seed=44|bp=74|err=0.054765,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case30/seed=44_case=case30_lr=5e-4_46_260202_064424
task31,powerflownet,case500,42,0,PBL Mean,4.697158387128044,94,94,20,4,11.130814451329849,54,5.360444725261015,99,4.984705044241513,94,4.697158387128044,43,task31|powerflownet|case500|seed=42|bp=94|err=4.697158,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case500/seed=42_case=case500_lr=5e-4_9_260131_090811
task31,powerflownet,case500,43,1,PBL Mean,4.896650061887853,84,84,20,4,9.54778284185073,54,5.578251597460579,99,4.755023204579073,99,4.755023204579073,45,task31|powerflownet|case500|seed=43|bp=84|err=4.896650,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case500/seed=43_case=case500_lr=5e-4_29_260201_090212
task31,powerflownet,case500,44,2,PBL Mean,4.773113581713508,99,99,20,4,8.915715638329,54,5.266799567727482,99,4.773113581713508,99,4.773113581713508,44,task31|powerflownet|case500|seed=44|bp=99|err=4.773114,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case500/seed=44_case=case500_lr=1e-3_54_260202_154738
